preusuel,dpt,decade,nombre,total_births,rate_per_10k
ALAIN,82,1950,957,28319,337.94
ALAIN,82,1960,537,24971,215.05
ALAIN,82,1970,80,18692,42.8
ALAIN,82,1980,3,15273,1.96
ALAIN,83,1920,15,38950,3.85
ALAIN,83,1930,179,41678,42.95
ALAIN,83,1940,1346,53045,253.75
ALAIN,83,1950,1735,61785,280.81
ALAIN,83,1960,1261,74409,169.47
ALAIN,83,1970,264,68376,38.61
ALAIN,83,1980,100,76541,13.06
ALAIN,83,1990,32,77403,4.13
ALAIN,83,2000,4,74906,0.53
ALAIN,84,1920,17,28669,5.93
ALAIN,84,1930,121,29906,40.46
ALAIN,84,1940,1070,40409,264.79
ALAIN,84,1950,1409,46199,304.98
ALAIN,84,1960,991,60952,162.59
ALAIN,84,1970,198,54031,36.65
ALAIN,84,1980,51,62451,8.17
ALAIN,84,1990,13,63976,2.03
